Year,Project,SUPPLIER,MFG,MFG Part #,Task Code,Material, Quantity ,UoM, Unit Price , Extended Price ,Order Date,Unnamed: 12,Inches,Feet,Schedule
2019,Crane,Border States,,2243878,ELECTRICAL CONDUIT,EPVC - SCH40-4IN-10FT-PVC-CONDUIT,4200,Ft,$1.53 ,"$6,438.60 ",7/1/2019,,4,10,40
2019,Crane,Border States,,2243871,ELECTRICAL CONDUIT,EPVC - SCH40-1IN-10FT-PVC-CONDUIT,4400,Ft,$0.07 ,$307.01 ,7/25/2019,,1,10,40
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,EPVC - SCH40 - 4IN - 10FT - PVC - Conduit,5600,FT,$1.60 ,"$8,960.00 ",1/14/2020,,4,10,40
2020,Fighting Jays,Border States,,921876074,Electrical Conduit - Solar,4 in. Schedule 40 PVC Conduit (10' lengths) PN# 49015010,5700,EA,$4.50 ,"$25,665.39 ",2/24/2021,,4,10,40
2023,Markum Solar,Border States,PRIME CONDUIT,49015-010,Electrical Conduit - Solar,"4"" 10' Stick SCH40 PVC",6720,EA,$5.36 ,"$36,016.51 ",12/6/2023,,4,10,40
2022,Tierra Bonita,Gexpro,ATKORE,PVC40080,Electrical Conduit - Solar,PVC 40080 4-IN-PVC-SCHED-80-CONDUIT 10' Sticks,7440,FT,$10.36 ,"$77,078.40 ",5/20/2023,,4,10,40
2019,Maiden Creek,Gexpro,468886,,Electrical Conduit - Solar,PVC 20080 2 - IN - PVC - SCHED -80 - Conduit,7500,Ea,$0.84 ,"$6,313.71 ",6/15/2020,,2,10,80
2020,Fighting Jays,Gexpro,,,Electrical Conduit - Solar,4-inch PVC Schedule 80 Conduit,7500,EA,$7.02 ,"$52,682.50 ",2/16/2021,,4,10,80
2022,Falmouth,Border States,,49015010,Electrical Conduit - Solar,4in Sch 40 PVC Conduit,7860,EA,$5.86 ,"$46,059.60 ",6/22/2023,,4,10,40
2019,Santa Fe,Border States,33558152,,Electrical Conduit - Solar, EPVC - SCH40-4IN-10FT-PVC-CONDUIT ,9500,LF,$1.57 ,"$14,915.00 ",3/31/2020,,4,10,40
2018,Highlander,Border States,,49015010,ELECTRICAL CONDUIT,"4"" Schedule 40 PVC Conduit -BE- 10'",10200,EA,$1.42 ,"$14,484.00 ",3/19/2020,,4,10,40
2023,Hill Solar,Border States,,A52EA12,Electrical Conduit - Solar,"4"" pipe 10ft sticks",10230,100,$5.90 ,"$60,404.06 ",6/5/2023,,4,10,40
2022,Tierra Bonita,Gexpro,ATKORE,PVC400,Electrical Conduit - Solar,PVC 400 4-IN-PVC-SCHED-40-CONDUIT 10' Sticks,11280,FT,$6.85 ,"$77,268.00 ",5/17/2023,,4,10,40
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,4 in. Schedule 40 PVC Conduit (10' lengths) PN# 49015010,11980,LF,$3.64 ,"$43,638.35 ",10/30/2020,,4,10,40
2022,Orchard,Gexpro,,43526,Electrical Conduit - Solar,"4"" Schedule 40 PVC",12500,FT,$6.96 ,"$87,042.50 ",3/23/2023,,4,10,40
2023,Markum Solar,Border States,PRIME CONDUIT,49015-010,Electrical Conduit - Solar,"4"" 10' Stick SCH40 PVC",20190,EA,$5.51 ,"$111,158.06 ",10/24/2023,,4,10,40
2019,Maiden Creek,Gexpro,468886,,Electrical Conduit - Solar,PVC 200 2 - IN - PVC SCHED 40 Conduit,23500,Ea,$0.53 ,"$12,444.89 ",6/15/2020,,2,10,40
2020,Fighting Jays,Gexpro,,"S130517600.001(qty3990), S130517600.003 QTY 18240",Electrical Conduit - Solar,"SCH 40- 4"" CONDUIT-10' STICKS",44000,EA,$5.44 ,"$239,200.43 ",4/14/2021,,4,10,40
2020,Fighting Jays,Border States,,"921767408, 921759131(18,240)",Electrical Conduit - Solar,4 in. Schedule 40 PVC Conduit (10' lengths) PN# 49015010,51000,EA,$4.50 ,"$229,637.70 ",2/26/2021,,4,10,40
