Year,Project,SUPPLIER,MFG,MFG Part #,Task Code,Material, Quantity ,UoM, Unit Price , Extended Price ,Order Date,Unnamed: 12,Inches,Feet,Schedule
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,172992,ELECTRICAL CONDUIT,"8"" PVC Bell Ends",54,EA,$33.91 ,"$1,831.14 ",2/14/2020,,,,
2021,TSN 2,Graybar,,,Electrical Conduit - Solar,8 INCH BELL END,58,EA,$28.51 ,"$1,653.48 ",2/3/2023,,,,
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,EPVC- END-BELL-3IN-PVC,60,EA,$2.88 ,$172.80 ,1/30/2020,,,,
2019,Snipes 1,Border States,,,ELECTRICAL CONDUIT,"conduit-6"" sch 40",60,EA,$0.81 ,$48.60 ,3/13/2020,,6,10,40
2019,Snipes 1,Border States,4/10/20 PENDING,2243881,ELECTRICAL CONDUIT,EPVC - SCH40-6IN-10FT-PVC-CONDUIT,60,LF,$28.30 ,"$1,698.00 ",4/10/2020,,6,10,40
2020,Emerald Grove,PO501630,,,Electrical Conduit - Solar," PVC 800 (schedule 80 8"" ",60,ea, $-   , Incl ,3/17/2021,,8,10,80
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"8"" BELL END",60,EA,$48.92 ,"$2,935.10 ",10/9/2023,,,,
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"10' SCH 40 8"" PVC CONDUIT",60,EA,$204.48 ,"$12,268.68 ",10/9/2023,,8,10,40
2018,Highlander,Po#485650 - Capital,,,ELECTRICAL CONDUIT,8IN PVC END BELL,62,EA,$39.30 ,"$2,436.74 ",10/7/2020,,,,
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,"E997R- 6"" SCH 40 PVC BELL ENDS",63,EA,$8.52 ,$536.76 ,10/24/2023,,,,
2022,Tierra Bonita,Gexpro,,278123,Electrical Conduit - Solar,"8"" PVC Bell Ends",66,EA,$62.50 ,"$4,125.00 ",1/25/2024,,,,
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,104626,ELECTRICAL CONDUIT,"3"" PVC Bell Ends",73,EA,$2.07 ,$151.11 ,2/14/2020,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"1 1/4"" PVC Bell Ends",75,EA,$1.05 ,$78.67 ,1/9/2020,,,,
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,"Fiber-2"" bell ends",78,ea,$422.57 ,$329.60 ,3/10/2023,,,,
2022,Orchard,Gexpro,,29931,Electrical Conduit - Solar," 2"" Bell End ",78,EA,$4.23 ,$329.94 ,3/23/2023,,,,
2018,Highlander,Border States,,104531,ELECTRICAL CONDUIT,11/4 in. Schedule 40 PVC End Bell,80,EA,$1.42 ,$113.60 ,6/2/2020,,,,
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,2 in. Schedule 40 PVC End Bell,80,Ea,$2.00 ,$160.00 ,4/16/2020,,,,
2022,Winquepin,Border States,,926009540,Electrical Conduit - Solar,"5961810 - 8"" 10' Stick SCH40 PVC",80,LF,$26.12 ,"$2,089.21 ",12/10/2022,,8,10,40
2018,Columbia,Border States,,49017010,ELECTRICAL CONDUIT,"6"" Schedule 40 PVC (10' Sticks)",90,EA,$28.00 ,"$2,520.00 ",8/23/2019,,6,10,40
2018,Highlander,Border States,,E997T,ELECTRICAL CONDUIT,"8"" Bell end",90,EA,$33.91 ,"$3,051.90 ",3/18/2020,,,,
2022,Tierra Bonita,Gexpro,ATKORE,200BE,Electrical Conduit - Solar,RXP 200BE 2-IN-BELL-END,92,EA,$4.13 ,$379.96 ,5/17/2023,,,,
2019,Crane,Border States,,172992,ELECTRICAL CONDUIT,EPVC - END-BELL-8IN-PVC,95,Ea,$65.38 ,"$6,211.54 ",7/25/2019,,,,
2018,Columbia,Graybar,,,ELECTRICAL CONDUIT,"1 1/4"" pvc sch 80 10' sticks",100,FT,$0.93 ,$93.06 ,10/9/2019,,1.25,10,80
2018,Columbia,Graybar,,,ELECTRICAL CONDUIT,"2"" pvc sch 80 10' sticks",100,FT,$0.60 ,$60.43 ,10/9/2019,,2,10,80
2018,Columbia,Graybar,,,ELECTRICAL CONDUIT,"1 1/4"" pvc sch 80 10' sticks",100,FT,$0.93 ,$93.06 ,10/14/2019,,1.25,10,80
2018,Columbia,Graybar,,,ELECTRICAL CONDUIT,"2"" pvc sch 80 10' sticks",100,FT,$0.60 ,$60.43 ,10/14/2019,,2,10,80
2019,Crane,Border States,,,ELECTRICAL CONDUIT,EPVC - SCH80 - 1IN - 10FT - PVC - Conduit,100,FT,$0.48 ,$48.00 ,2/26/2020,,1,10,80
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,6 in Sch 40 PVC End Bell,100,EA,$4.35 ,$435.00 ,12/16/2019,,,,
2019,Snipes 1,Border States,,2243872,ELECTRICAL CONDUIT,"conduit-1 1/4"" -sch 40-10 ft sticks",100,EA,$5.83 ,$582.60 ,3/13/2020,,1.25,10,40
2020,Fighting Jays,Border States,35019590,921767414,Electrical Conduit - Solar,"SCH 80- 2"" CONDUIT-10' STICKS",100,FT,$4.20 ,$420.49 ,3/24/2021,,2,10,80
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"8"" SCH40 Conduit - 10' Sticks",100,EA,$302.86 ,"$30,285.57 ",6/9/2022,,8,10,40
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"8"" SCH40 Conduit - 10' Sticks 100 EA@$302.856",100,EA,$302.86 ,"$30,285.57 ",6/1/2024,,8,10,40
2022,Falmouth,Border States,,2245070,Electrical Conduit - Solar,EPVC - SCH40-8IN-10FT PVC Conduit,100,FT,$20.14 ,"$2,014.29 ",11/8/2023,,8,10,40
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,6-IN-PVC-SCHED-40-CONDUIT,100,EA,$14.90 ,"$1,487.57 ",6/5/2023,,6,10,40
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,PVC 20080 2-IN-PVC-SCHED-80-CONDUIT,100,EA,$6.42 ,$641.72 ,12/19/2023,,2,10,80
2022,Orchard,Gexpro,,26995,Electrical Conduit - Solar,"2"" Schedule 80 PVC",100,EA,$4.15 ,$414.91 ,4/24/2023,,2,10,80
2022,Tierra Bonita,Gexpro,Gexpro,,Electrical Conduit - Solar,PVC 20080 2 INCH PVC SCH80 Conduit,100,FT,$17.26 ,"$1,726.08 ",10/6/2023,,2,10,80
2023,Markum Solar,Border States,PRIME CONDUIT,49417-010,Electrical Conduit - Solar,"6"" 10' Stick SCH80 PVC",100,EA,$18.27 ,"$1,826.60 ",12/6/2023,,6,10,80
2019,Crane,Border States,,104530,ELECTRICAL CONDUIT,EPVC - END-BELL-1IN-PVC,105,Ea,$1.12 ,$117.69 ,7/25/2019,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,"GEXPRO- ITEM# 29931- 2""BELL END ",108,ea,$51.96 ,$467.63 ,4/29/2022,,,,
2022,Tierra Bonita,Gexpro,ATKORE,PVC100,Electrical Conduit - Solar,PVC 100 1-IN-PVC-SCHED-40-CONDUIT 10' Sticks,110,FT,$1.26 ,$138.60 ,5/17/2023,,1,10,40
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"8"" SCH40 Bell Ends",115,EA,$56.77 ,"$6,528.86 ",6/9/2022,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"8"" SCH40 Bell Ends 115 EA@$56.773",115,EA,$56.77 ,"$6,528.86 ",,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar, PVC 125 1-1/4-PVC-SCHED-40-CONDUIT - 10' Sticks ,120,ea,$22.92 ,"$2,750.72 ",1/24/2022,,1.25,10,40
2022,Monarch,Gexpro,,26995,Electrical Conduit - Solar,2 In-PVC SCHED 80 Conduit,120,ea,$4.15 ,$497.89 ,5/12/2023,,2,10,80
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,"PVC Conduit, S ch 40, 8"" Diameter, 12-10' sticks",120,EA,$26.55 ,"$3,186.00 ",6/8/2023,,8,10,40
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,59618010-8IN SCH 40 10FT CONDUIT- BELL ENDED,120,FT,$18.97 ,"$2,276.40 ",10/24/2023,,,,
2023,Markum Solar,Border States,KRALOY,78299,Electrical Conduit - Solar,"6"" Bell End SCH40",120,EA,$8.38 ,"$1,005.05 ",10/24/2023,,,,
2023,Markum Solar,Border States,PRIME CONDUIT,59618-010,Electrical Conduit - Solar,"8"" 10' Stick SCH40 PVC",120,EA,$19.01 ,"$2,281.34 ",12/6/2023,,8,10,40
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,104661,ELECTRICAL CONDUIT,"6"" PVC Bell Ends",128,EA,$4.25 ,$544.00 ,2/14/2020,,,,
2019,Snipes 1,Border States,,59618-010,ELECTRICAL CONDUIT,"8"" SCH 40 PVC 10' Stick w/ bell-end",130,LF,$5.62 ,$730.60 ,3/20/2020,,,,
2018,Columbia,Border States,,49015010,ELECTRICAL CONDUIT,"4"" Schedule 40 PVC (10' sticks)",132,EA,$15.00 ,"$1,980.00 ",8/23/2019,,4,10,40
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,PVC 40080 4-IN-PVC-SCHED-80-CONDUIT - 10'  Sticks,140,ea,$141.12 ,"$19,757.11 ",1/20/2022,,4,10,40
2019,Snipes 1,Border States,,,ELECTRICAL CONDUIT,"PVC-Sch 40 3"" bell ends-",140,EA,$3.70 ,$518.00 ,5/28/2020,,,,
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,PVC 20080 2-IN-PVC-SCHED-80-CONDUIT,140,EA,$4.15 ,$580.87 ,5/12/2023,,2,10,80
2023,Hill Solar,Border States,,,Electrical Conduit - Solar, 8'' bellends ,148,EA,$47.55 ,"$7,037.68 ",6/23/2023,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT," 1 1/4"" Bell ends ",150,EA,$1.87 ,$280.50 ,10/11/2019,,,,
2022,Winquepin,Border States,,926009540,Electrical Conduit - Solar,"49017010 - 6"" 10' Stick SCH40 PVC",150,LF,$13.60 ,"$2,040.17 ",11/5/2022,,6,10,40
2022,Tierra Bonita,Gexpro,ATKORE,1561,Electrical Conduit - Solar,RXP 600BE 6-IN-BELL-END,154,EA,$11.30 ,"$1,740.20 ",5/17/2023,,,,
2022,Tierra Bonita,Gexpro,,,Electrical Conduit - Solar,"6"" bell ends SCH 40",154,EA,$10.30 ,"$1,586.20 ",8/2/2023,,,,
2018,Columbia,Border States,,49415010,ELECTRICAL CONDUIT,"4"" Schedule 80 PVC (10' sticks)",156,EA,$23.80 ,"$3,712.80 ",8/23/2019,,4,10,80
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"6"" SCH40 Conduit - 10' Sticks",160,EA,$157.73 ,"$25,237.09 ",6/9/2022,,6,10,40
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"6"" SCH40 Conduit - 10' Sticks 160 EA@$157.732",160,EA,$157.73 ,"$25,237.09 ",6/1/2021,,6,10,40
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,"49017010- 6"" SCH 40 10FT CONDUIT BELL ENDED",160,FT,$11.41 ,"$1,825.60 ",10/24/2023,,,,
2022,Tierra Bonita,Gexpro,Gexpro,,Electrical Conduit - Solar,6 Inch Bell Ends,162,EA,$37.23 ,"$6,032.00 ",10/6/2023,,,,
2020,Emerald Grove,PO#520422,,,Electrical Conduit - Solar,PCV 400 4-IN-PVC-SCH40-Conduit,170,EA,$8.41 ,"$1,429.70 ",7/28/2021,,4,10,40
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,PVC 200 2-IN-PVC-SCHED-40-CONDUIT,170,EA,$3.30 ,$561.69 ,12/18/2023,,2,10,40
2022,Falmouth,Border States,,E997T,Electrical Conduit - Solar,8in Sch 40 PVC End Bell,172,EA,$46.77 ,"$8,044.44 ",6/22/2023,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"6"" SCH40 Bell Ends",175,EA,$11.98 ,"$2,096.24 ",6/9/2022,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"6"" SCH40 Bell Ends 175 EA@$11.979",175,EA,$11.98 ,"$2,096.24 ",,,,,
2022,Falmouth,Border States,,E997GCAR,Electrical Conduit - Solar,1 1/4in SCH 40 PVC End Bell,175,EA,$2.28 ,$399.00 ,6/22/2023,,,,
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,"8"" SCH 40 Conduit 10' Stick",180,FT,$10.34 ,"$1,861.22 ",6/24/2020,,8,10,40
2021,TSN 2,Graybar,,,Electrical Conduit - Solar,6 INCH BELL END,186,EA,$9.06 ,"$1,685.05 ",2/3/2023,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,PVC 20080 2-IN-PVC-SCHED-80-CONDUIT - 10' Sticks,190,ea,$52.70 ,"$10,013.23 ",1/24/2022,,2,10,80
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"1.25"" SCH80 Conduit - 10' Sticks",190,EA,$33.40 ,"$6,346.43 ",6/9/2022,,1.25,10,80
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"1.25"" SCH80 Conduit - 10' Sticks 190 EA@$33.402",190,EA,$33.40 ,"$6,346.44 ",10/30/2021,,1.25,10,80
2019,Snipes 1,Border States,4/10/20 PENDING,2243878,ELECTRICAL CONDUIT,EPVC - SCH40-4IN-10FT-PVC-CONDUIT,200,LF,$11.85 ,"$2,370.00 ",4/10/2020,,4,10,40
2019,Santa Fe,Graybar,,,Electrical Conduit - Solar,2 SCH40 COND 10 FT,200,EA,$2.62 ,$524.12 ,8/25/2020,,2,10,40
2019,Crane,Border States,,,ELECTRICAL CONDUIT,"1-1/2"" PVC Endbells",220,EA,$1.69 ,$371.91 ,1/7/2020,,,,
2019,Crane,Border States,,,ELECTRICAL CONDUIT,"1"" PVC Endbells",220,EA,$1.32 ,$290.07 ,1/7/2020,,,,
2019,Crane,Border States,,,ELECTRICAL CONDUIT,SCH80 - 1-1/2 - 10FT - PVC - Conduit,220,EA,$0.77 ,$169.05 ,1/7/2020,,1.5,10,80
2019,Crane,Border States,,,ELECTRICAL CONDUIT,SCH80 - 1IN - 10FT - PVC - Conduit,220,EA,$0.49 ,$107.62 ,1/7/2020,,1,10,80
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"MEB12 - 1 1/4"" Bell Ends",230,EA,$2.39 ,$548.76 ,x,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"2"" PVC schedule 40",250,EA,$0.76 ,$188.75 ,1/9/2020,,2,10,40
2022,Caloosahatchee,Gexpro,,26995,Electrical Conduit - Solar,"2"" Schedule 80 Conduit",250,EA,$4.15 ,"$1,037.28 ",5/15/2023,,2,10,80
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"4"" Bell ends",260,EA,$3.80 ,$988.00 ,10/25/2019,,,,
2019,Santa Fe,Border States,,,Electrical Conduit - Solar,EPVC - SCH80 - 2IN -10FT - PVC Conduit,280,FT,$0.99 ,$276.22 ,6/17/2020,,2,10,80
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,"GEXPRO- ITEM# 26995-2"" conduit, sch 80- 10' sticks",280,ea,$76.36 ,"$1,603.57 ",4/29/2022,,2,10,80
2020,Fighting Jays,Border States,35372693,"922293105, 922421049",Electrical Conduit - Solar,1 in. Schedule 40 PVC Conduit (10' length) PN# 49008010,300,EA,$1.35 ,$404.43 ,6/16/2021,,1,10,40
2022,Monarch,Gexpro,,26995,Electrical Conduit - Solar,PVC 20080 2-IN-PVC-SCHED-80-CONDUIT,300,EA,$4.55 ,"$1,366.17 ",11/16/2023,,2,10,80
2022,Orchard,Gexpro,,,Electrical Conduit - Solar,PVC 200 2-IN-PVC-SCHED-80-CONDUIT,300,EA,$5.25 ,"$1,575.61 ",11/8/2023,,2,10,80
2023,Markum Solar,Border States,PRIME CONDUIT,49417-010,Electrical Conduit - Solar,"6"" 10' Stick SCH80 PVC",300,EA,$18.76 ,"$5,628.99 ",10/24/2023,,6,10,80
2023,County Line Solar,Border States,,,Electrical Conduit - Solar,"ITEM#-E997N- 4"" SCH 40 BELL ENDS",320,EA,$4.94 ,"$1,580.80 ",10/24/2023,,,,
2023,Markum Solar,Border States,PRIME CONDUIT,49409-010,Electrical Conduit - Solar,"1 1/4"" 10' Stick SCH80 PVC",320,EA,$2.10 ,$671.04 ,12/6/2023,,1.25,10,80
2023,Markum Solar,Border States,KRALOY,78297,Electrical Conduit - Solar,"4"" Bell End SCH80",330,EA,$4.85 ,"$1,600.83 ",10/24/2023,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT," 2"" Bell ends ",350,EA,$1.72 ,$602.00 ,10/11/2019,,,,
2022,Caloosahatchee,Gexpro,,43501,Electrical Conduit - Solar,"6"" Schedule 40 Conduit",350,EA,$13.95 ,"$4,883.07 ",5/15/2023,,6,10,40
2023,Hill Solar,Border States,,278123,Electrical Conduit - Solar,"8"" BELL ENDS",353,100,$35.14 ,"$12,404.98 ",6/5/2023,,,,
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,"GEXPRO- ITEM# 268670 4"" CONDUIT SCH 80-10'STICKS ",370,ea,$55.50 ,"$5,993.82 ",4/29/2022,,4,10,80
2023,Markum Solar,Border States,PRIME CONDUIT,49011-010,Electrical Conduit - Solar,"2"" 10' Stick SCH40 PVC",370,EA,$2.03 ,$751.25 ,12/6/2023,,2,10,40
2023,Markum Solar,Border States,PRIME CONDUIT,59618-010,Electrical Conduit - Solar,"8"" 10' Stick SCH40 PVC",380,EA,$20.80 ,"$7,905.82 ",10/24/2023,,8,10,40
2019,Snipes 1,Border States,,49014010,ELECTRICAL CONDUIT,"3.5"" SCH 40 PVC 10' Stick w/ bell-end",390,EA,$1.46 ,$569.40 ,3/20/2020,,,,
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,EPVC- END-BELL-3IN-PVC,400,EA,$2.88 ,"$1,152.00 ",3/9/2020,,,,
2019,Greasewood,Border States,,,ELECTRICAL CONDUIT,6 in Sch 40 PVC Conduit,400,EA,$2.81 ,"$1,124.00 ",12/16/2019,,6,10,40
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,EPVC - END-BELL-4IN-PVC,400,EA,$3.24 ,"$1,297.56 ",1/20/2021,,,,
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"1.25"" SCH40 Conduit - 10' Sticks",400,EA,$22.37 ,"$8,947.27 ",6/9/2022,,1.25,10,40
2021,TSN 1,Rexel,,,Electrical Conduit - Solar,"1.25"" SCH40 Conduit - 10' Sticks 400 EA@$22.368",400,EA,$22.37 ,"$8,947.28 ",8/30/2021,,1.25,10,40
2018,Highlander,Po#485650 - Capital,,,ELECTRICAL CONDUIT,"1-1/4"" SCH40 PVC PIPE",410,EA,$0.91 ,$373.72 ,10/7/2020,,1.25,10,40
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,PVC 400 4-IN-PVC-SCHED-40-CONDUIT - 10'  Sticks,412,ea,$87.51 ,"$36,053.30 ",1/24/2022,,4,10,40
2022,Caloosahatchee,Gexpro,,30347,Electrical Conduit - Solar,"DC 4"" Bell Ends",415,EA, $-   ,,3/9/2023,,,,
2022,Caloosahatchee,Gexpro,,43501,Electrical Conduit - Solar,"600 MV-6"" sch 40PVC  ",420,EA,$12.86 ,"$5,402.88 ",3/9/2023,,6,10,40
2023,Hill Solar,Border States,,,Electrical Conduit - Solar,"4"" BELL ENDS",420,100,$4.91 ,"$2,060.60 ",11/6/2023,,,,
2023,Markum Solar,Border States,PRIME CONDUIT,49009-010,Electrical Conduit - Solar,"1 1/4"" 10' Stick SCH40 PVC",420,EA,$1.40 ,$589.89 ,12/6/2023,,1.25,10,40
2023,Markum Solar,Border States,PRIME CONDUIT,49017-010,Electrical Conduit - Solar,"6"" 10' Stick SCH40 PVC",420,EA,$9.90 ,"$4,158.50 ",12/6/2023,,6,10,40
2022,Winquepin,Border States,,,Electrical Conduit - Solar,"MEB40 - 4"" Bell End",425,EA,$4.96 ,"$2,106.17 ",x,,,,
2022,Monarch,Gexpro,,43501,Electrical Conduit - Solar,6 In-PVC SCHED 40 Conduit,440,ea,$13.95 ,"$6,138.71 ",5/12/2023,,6,10,40
2022,Orchard,Gexpro,,26867,Electrical Conduit - Solar,"4"" Schedule 80 PVC",450,EA,$10.82 ,"$4,869.81 ",4/24/2023,,4,10,80
2022,Orchard,Gexpro,,43501,Electrical Conduit - Solar,"6"" Schedule 40 PVC ",460,EA,$12.86 ,"$5,915.60 ",3/23/2023,,6,10,40
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,RXP 200BE 2-IN-BELL-END,470,ea, $-   , included ,1/24/2022,,,,
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,"DC 4"" Bell Ends",470,ea,$629.61 ,"$2,266.61 ",3/10/2023,,,,
2022,Orchard,Gexpro,,30347,Electrical Conduit - Solar," 4"" Bell End ",470,EA,$6.30 ,"$2,961.00 ",3/23/2023,,,,
2018,Columbia,Border States,,,ELECTRICAL CONDUIT,"1"" PVC schedule 40",500,EA,$0.36 ,$178.30 ,1/9/2020,,1,10,40
2018,Highlander,PO#477586 - Capital,,,ELECTRICAL CONDUIT," 1-1/4"" SCH80 Conduit - 10' BE ",500,EA,$0.84 ,$422.35 ,8/11/2020,,1.25,10,80
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,8 in. Schedule 40 PVC End Bell PN#E997T,500,EA,$32.74 ,"$16,370.70 ",10/30/2020,,,,
2020,Fighting Jays,Border States,,,Electrical Conduit - Solar,1 in. Schedule 40 PVC Conduit (10' length) PN# 49008010,500,EA,$0.66 ,$331.45 ,10/30/2020,,1,10,40
2022,Caloosahatchee,Border States,,,Electrical Conduit - Solar,EPVC - SCH80-2IN-10FT-PVC-CONDUIT,500,EA,$3.72 ,"$1,861.20 ",11/21/2023,,2,10,80
2018,Columbia,Border States,,2243886,ELECTRICAL CONDUIT,EPVC - SCH80-2IN-10FT-PVC-CONDUIT ( 51 sticks of 10 ft),510,FT,$1.21 ,$617.30 ,10/8/2019,,2,10,80
2018,Highlander,Border States,,E997N,ELECTRICAL CONDUIT,"4"" Bell End",510,LF,$2.39 ,"$1,218.90 ",3/18/2020,,,,
2022,Falmouth,Border States,,2244066,Electrical Conduit - Solar,"EPVC - SCH80 - 1 - 1/4""-10ft PVC Conduit",520,FT,$2.46 ,"$1,278.11 ",11/8/2023,,1.25,10,80
2023,Markum Solar,Border States,PRIME CONDUIT,49415-010,Electrical Conduit - Solar,"4"" 10' Stick SCH80 PVC",520,EA,$8.85 ,"$4,602.78 ",12/6/2023,,4,10,80
2021,Hildreth,Gexpro,,,Electrical Conduit - Solar,RXP 400BE 4-IN-BELL-END,570,ea, $-   , included ,1/24/2022,,,,
2019,Snipes 1,Border States,ELECTRICAL PVC PIPE & FITTINGS,2243878,ELECTRICAL CONDUIT,"4"" SCH 40 PVC 10' Stick w/ bell-end",575,EA,$15.10 ,"$8,682.50 ",2/14/2020,,,,
2018,Highlander,PO#472264,,,ELECTRICAL CONDUIT," 1-1/4"" SCH80 conduit ",580,EA,$1.02 ,$589.86 ,7/8/2020,,1.25,10,80
2019,Santa Fe,Border States,33558152,,Electrical Conduit - Solar,EPVC - END-BELL-2IN-PVC,600,EA,$1.86 ,"$1,116.00 ",3/31/2020,,,,
2020,Fighting Jays,Gexpro,,S130517600.001,Electrical Conduit - Solar,"SCH40-8"" CONDUIT-10' STICKS",600,EA,$19.28 ,"$11,569.98 ",4/14/2021,,8,10,40
2022,Winquepin,Border States,,926009540,Electrical Conduit - Solar,"49415010 - 4"" 10' Stick SCH80 PVC",600,LF,$12.14 ,"$7,283.64 ",6/1/2022,,4,10,80
2023,Markum Solar,Border States,KRALOY,78297,Electrical Conduit - Solar,"4"" Bell End SCH40",640,EA,$4.85 ,"$3,104.64 ",10/24/2023,,,,
2019,Santa Fe,Border States,33558152,,Electrical Conduit - Solar,EPVC - SCH40-8IN-10FT-PVC-CONDUIT,650,LF,$5.57 ,"$3,620.50 ",3/31/2020,,8,10,40
2023,Hill Solar,Border States,,5144012,Electrical Conduit - Solar,"4"" BELL ENDS",687,100,$4.48 ,"$3,079.34 ",6/5/2023,,,,
2021,TSN 2,Graybar,,,Electrical Conduit - Solar,8 INCH SCH40 CONDUIT,700,LF,$26.63 ,"$18,639.18 ",2/3/2023,,8,10,40
2022,Falmouth,Border States,,E997N,Electrical Conduit - Solar,4in Sch 40 PVC  End Bell,700,EA,$4.72 ,"$3,304.00 ",6/22/2023,,,,
2022,Falmouth,Border States,,49409010,Electrical Conduit - Solar,SCH80-1-1/4IN-10FT-PVC-Conduit,700,EA,$2.30 ,"$1,610.00 ",6/22/2023,,1.25,10,80
2022,Monarch,Gexpro,,,Electrical Conduit - Solar,2-IN-PVC-SCHED-40-CONDUIT,700,EA,$3.05 ,"$2,135.34 ",6/5/2023,,2,10,40
2019,Maiden Creek,Gexpro,468886,,Electrical Conduit - Solar,PXP 200BE 2 - IN - Bell End,730,Ea,$1.54 ,"$1,125.77 ",6/15/2020,,,,
